month,day,year,lane 1,lane 2,lane 3 ,lane 4,lane 5,dayofweek_int,month_str
1,16.0,2005.5,2.7949900000000003,1.86,2.41,1.64,1.04,3.0,"Jan, 19.5 (2005) / 20 (2006)"
2,14.0,2005.5,2.1,1.9,1.86,1.0950000000000002,1.8,3.0,"Feb, 20.7 (2005), / 22.7 (2006)"
3,16.0,2005.0,1.95,1.97,2.14,0.5,2.12,3.0,"March, 23.8 (2005)"
4,15.0,2005.0,9.999989999999999,1.4,2.97,0.64,6.559989999999999,3.0,"April, 28 (2005)"
5,15.0,2005.0,0.06,1.89,1.61,1.56,1.68,3.0,"May, 31.6 (2005)"
6,15.0,2005.0,0.24,2.24,0.88,0.0,1.12,3.0,"June, 33.4 (2005)"
7,16.0,2005.0,2.55999,3.27999,1.26,0.0,0.13,3.0,"July, 35.3 (2005)"
8,16.0,2005.0,2.51999,1.76,0.86,0.0,1.61999,3.0,"August, 35.7 (2005)"
9,15.0,2005.0,3.31999,1.69,1.27,0.14,0.03,3.0,"Sep, 33.4 (2005)"
10,16.0,2004.5,1.92,1.89,1.42,1.73,2.00999,3.0,"Oct, 29.9 (2004) / 30.7 (2005)"
11,15.0,2004.0,1.87999,1.74,1.76,1.51,2.22,3.0,"Nov, 26.3 (2004) / 27.8 (2005)"
12,16.0,2004.5,2.175,1.83,1.935,1.09,1.85,3.0,"Dec, 21.8 (2004) / 23 (2005)"
