month,dayofweek_int,timebins,day,year,lane 1,lane 2,lane 3 ,lane 4,lane 5,month_str,dayofweek_str
1,0,10AM_noon,16.5,2005.5,3.585,2.0749950000000004,3.165,2.0700000000000003,1.4249999999999998,"Jan, 19.5 (2005) / 20 (2006)",Mon
1,0,10PM_midnight,16.5,2005.5,2.775,1.78,2.2449950000000003,1.22,0.8600000000000001,"Jan, 19.5 (2005) / 20 (2006)",Mon
1,0,2AM_4AM,16.5,2005.5,2.384995,1.884995,2.234995,1.325,0.9600000000000001,"Jan, 19.5 (2005) / 20 (2006)",Mon
1,0,2PM_4PM,16.5,2005.5,3.234995,1.635,2.5399900000000004,1.5,1.055,"Jan, 19.5 (2005) / 20 (2006)",Mon
1,0,4AM_6AM,16.5,2005.5,2.70499,1.88,2.1550000000000002,1.3599999999999999,0.98,"Jan, 19.5 (2005) / 20 (2006)",Mon
1,0,4PM_6PM,16.5,2005.5,3.0,1.649995,2.16,1.435,0.735,"Jan, 19.5 (2005) / 20 (2006)",Mon
1,0,6AM_8AM,16.5,2005.5,2.8049999999999997,1.935,2.9899950000000004,1.725,1.33,"Jan, 19.5 (2005) / 20 (2006)",Mon
1,0,6PM_8PM,16.5,2005.5,2.9549950000000003,1.96,2.25,1.49,0.875,"Jan, 19.5 (2005) / 20 (2006)",Mon
1,0,8AM_10AM,16.5,2005.5,3.2399950000000004,1.565,2.955,1.605,1.105,"Jan, 19.5 (2005) / 20 (2006)",Mon
1,0,8PM_10PM,16.5,2005.5,2.7,1.8900000000000001,2.535,1.475,1.08,"Jan, 19.5 (2005) / 20 (2006)",Mon
1,0,midnight_2AM,16.5,2005.5,1.969995,1.7650000000000001,2.135,1.57,0.9099999999999999,"Jan, 19.5 (2005) / 20 (2006)",Mon
1,0,noon_2PM,16.5,2005.5,3.54,1.8050000000000002,2.9599900000000003,2.03,1.87499,"Jan, 19.5 (2005) / 20 (2006)",Mon
1,1,10AM_noon,14.0,2005.5,3.06499,2.474995,3.8299950000000003,1.9049999999999998,1.28,"Jan, 19.5 (2005) / 20 (2006)",Tue
1,1,10PM_midnight,14.0,2006.0,3.2899900000000004,1.75,2.4949950000000003,1.905,0.5349999999999999,"Jan, 19.5 (2005) / 20 (2006)",Tue
1,1,2AM_4AM,17.0,2006.0,2.4,1.96,2.18,1.25,0.72,"Jan, 19.5 (2005) / 20 (2006)",Tue
1,1,2PM_4PM,17.0,2005.5,3.025,1.76,2.0749950000000004,1.42,0.92,"Jan, 19.5 (2005) / 20 (2006)",Tue
1,1,4AM_6AM,17.0,2006.0,2.75999,1.74,2.41,1.74,0.89,"Jan, 19.5 (2005) / 20 (2006)",Tue
1,1,4PM_6PM,14.0,2006.0,3.15499,1.8900000000000001,2.624995,1.705,0.44,"Jan, 19.5 (2005) / 20 (2006)",Tue
1,1,6AM_8AM,14.0,2006.0,2.77999,2.09,2.4050000000000002,1.6800000000000002,1.505,"Jan, 19.5 (2005) / 20 (2006)",Tue
1,1,6PM_8PM,17.5,2006.0,2.974995,1.665,1.88,1.6049950000000002,0.325,"Jan, 19.5 (2005) / 20 (2006)",Tue
1,1,8AM_10AM,17.0,2006.0,3.04999,1.84,3.3399900000000002,2.12,1.3,"Jan, 19.5 (2005) / 20 (2006)",Tue
1,1,8PM_10PM,17.0,2005.5,3.06,1.8900000000000001,2.219995,1.585,0.94,"Jan, 19.5 (2005) / 20 (2006)",Tue
1,1,midnight_2AM,14.0,2006.0,3.21,1.74,2.339995,1.65,0.34,"Jan, 19.5 (2005) / 20 (2006)",Tue
1,1,noon_2PM,17.5,2006.0,3.249995,2.0300000000000002,2.92,1.524995,0.37,"Jan, 19.5 (2005) / 20 (2006)",Tue
1,2,10AM_noon,12.0,2006.0,3.6900000000000004,2.2800000000000002,3.73999,1.865,0.895,"Jan, 19.5 (2005) / 20 (2006)",Wed
1,2,10PM_midnight,12.0,2005.5,3.435,1.365,2.95,1.94,0.785,"Jan, 19.5 (2005) / 20 (2006)",Wed
1,2,2AM_4AM,18.0,2005.0,2.82999,1.63,2.00999,0.98,1.43,"Jan, 19.5 (2005) / 20 (2006)",Wed
1,2,2PM_4PM,15.0,2005.5,2.974995,1.659995,2.274995,1.585,0.795,"Jan, 19.5 (2005) / 20 (2006)",Wed
1,2,4AM_6AM,12.0,2006.0,3.3599900000000003,1.95,3.1099900000000003,1.73,0.84,"Jan, 19.5 (2005) / 20 (2006)",Wed
1,2,4PM_6PM,12.0,2005.5,3.349995,1.6749999999999998,3.019995,1.7650000000000001,0.96,"Jan, 19.5 (2005) / 20 (2006)",Wed
1,2,6AM_8AM,15.0,2005.5,2.9949950000000003,1.4849999999999999,2.754995,1.759995,1.075,"Jan, 19.5 (2005) / 20 (2006)",Wed
1,2,6PM_8PM,18.0,2005.5,3.14999,1.395,2.525,1.345,1.085,"Jan, 19.5 (2005) / 20 (2006)",Wed
1,2,8AM_10AM,18.0,2005.0,3.03999,1.92,3.22,1.76,1.45,"Jan, 19.5 (2005) / 20 (2006)",Wed
1,2,8PM_10PM,15.0,2005.5,2.92999,1.54,2.099995,1.57,1.17,"Jan, 19.5 (2005) / 20 (2006)",Wed
1,2,midnight_2AM,15.0,2005.5,3.0149999999999997,1.79,2.385,1.35,0.89,"Jan, 19.5 (2005) / 20 (2006)",Wed
1,2,noon_2PM,18.0,2005.5,3.0449900000000003,1.47,2.759995,1.645,0.87,"Jan, 19.5 (2005) / 20 (2006)",Wed
1,3,10AM_noon,13.0,2005.5,3.759995,1.955,3.07499,2.3249950000000004,1.4700000000000002,"Jan, 19.5 (2005) / 20 (2006)",Thu
