date_2,day,month,year,lane 1,lane 2,lane 3 ,lane 4,lane 5,dayofweek_int
2004-10-01,1,10,2004,1.82,1.74,1.83,1.82,1.91,4
2004-10-02,2,10,2004,1.9449999999999998,1.884995,1.894995,1.82,1.869995,5
2004-10-03,3,10,2004,2.024995,1.545,1.9849999999999999,1.87499,1.849995,6
2004-10-04,4,10,2004,2.225,1.989995,2.0949999999999998,1.969995,1.94,0
2004-10-05,5,10,2004,1.94,1.78,2.08,1.844995,1.819995,1
2004-10-06,6,10,2004,1.969995,1.759995,1.889995,1.9449999999999998,1.7,2
2004-10-07,7,10,2004,1.935,1.815,1.829995,1.85,1.779995,3
2004-10-08,8,10,2004,1.9799950000000002,1.824995,1.9449999999999998,1.86,1.6949999999999998,4
2004-10-09,9,10,2004,2.075,1.864995,1.88,1.895,1.6600000000000001,5
2004-10-10,10,10,2004,1.935,1.895,1.8599999999999999,1.87499,1.6549999999999998,6
2004-10-11,11,10,2004,2.14,1.86,1.84,1.76,1.57,0
2004-10-12,12,10,2004,2.375,1.8450000000000002,1.53,1.79,1.2149999999999999,1
2004-10-13,13,10,2004,2.12,1.81,1.81,1.864995,1.3900000000000001,2
2004-10-14,14,10,2004,2.94,1.24,1.614995,1.69,1.475,3
2004-10-15,15,10,2004,1.95999,1.835,1.91,2.02999,1.9299950000000001,4
2004-10-16,16,10,2004,2.13,2.035,1.94,1.839995,1.994995,5
2004-10-17,17,10,2004,1.935,1.82,1.96,1.81,2.004995,6
2004-10-18,18,10,2004,1.94,1.71,1.9100000000000001,1.91,1.9049999999999998,0
2004-10-19,19,10,2004,1.8250000000000002,1.755,1.78,1.87999,1.81,1
2004-10-20,20,10,2004,1.95,1.81,1.97,1.795,1.87999,2
2004-10-21,21,10,2004,1.9,1.81,1.9,1.79,1.84,3
2004-10-22,22,10,2004,1.8549950000000002,1.6399949999999999,1.83,1.864995,1.87999,4
2004-10-23,23,10,2004,1.89,1.73,1.835,1.86999,1.884995,5
2004-10-24,24,10,2004,1.9849999999999999,2.004995,1.8399999999999999,1.7850000000000001,1.9249999999999998,6
2004-10-25,25,10,2004,2.069995,1.88,1.94,1.86,1.864995,0
2004-10-26,26,10,2004,1.93,1.69,1.815,1.91,1.88,1
