,month,timebins_int,year,lane 1,lane 2,lane 3 ,lane 4,lane 5,timebins_str,month_str
0,1,0,2005.5,2.61,1.86,2.339995,1.6349999999999998,0.825,midnight_2AM,"Jan, 19.5 (2005) / 20 (2006)"
1,1,1,2005.5,2.719995,1.8050000000000002,2.22,1.5350000000000001,0.735,2AM_4AM,"Jan, 19.5 (2005) / 20 (2006)"
2,1,2,2005.5,2.955,1.8450000000000002,2.56499,1.65,0.9450000000000001,4AM_6AM,"Jan, 19.5 (2005) / 20 (2006)"
3,1,3,2005.5,2.80499,1.96,2.4299999999999997,1.6949999999999998,1.2,6AM_8AM,"Jan, 19.5 (2005) / 20 (2006)"
4,1,4,2005.5,2.78499,1.8899949999999999,2.709995,1.68,1.355,8AM_10AM,"Jan, 19.5 (2005) / 20 (2006)"
5,1,5,2005.5,3.06499,2.12,3.4050000000000002,1.93,1.17,10AM_noon,"Jan, 19.5 (2005) / 20 (2006)"
6,1,6,2005.5,2.80499,2.01999,2.92,1.754995,1.4249999999999998,noon_2PM,"Jan, 19.5 (2005) / 20 (2006)"
7,1,7,2005.5,2.705,1.739995,2.2949900000000003,1.5350000000000001,0.725,2PM_4PM,"Jan, 19.5 (2005) / 20 (2006)"
8,1,8,2005.5,2.844995,1.7499900000000002,2.309995,1.54,0.685,4PM_6PM,"Jan, 19.5 (2005) / 20 (2006)"
9,1,9,2005.5,2.76499,1.835,2.06999,1.5550000000000002,0.915,6PM_8PM,"Jan, 19.5 (2005) / 20 (2006)"
10,1,10,2005.5,2.7199999999999998,1.86,2.17,1.605,1.065,8PM_10PM,"Jan, 19.5 (2005) / 20 (2006)"
11,1,11,2005.5,2.675,1.77,2.185,1.68,0.775,10PM_midnight,"Jan, 19.5 (2005) / 20 (2006)"
12,2,0,2005.5,1.935,1.86,1.8549950000000002,0.845,1.75,midnight_2AM,"Feb, 20.7 (2005), / 22.7 (2006)"
13,2,1,2005.5,2.08,1.895,1.815,0.795,1.815,2AM_4AM,"Feb, 20.7 (2005), / 22.7 (2006)"
14,2,2,2005.5,2.17,1.99,1.86,1.16,1.855,4AM_6AM,"Feb, 20.7 (2005), / 22.7 (2006)"
15,2,3,2005.5,2.17,1.895,1.91,1.295,1.77,6AM_8AM,"Feb, 20.7 (2005), / 22.7 (2006)"
16,2,4,2005.5,2.26999,2.0049900000000003,1.915,1.44,1.99,8AM_10AM,"Feb, 20.7 (2005), / 22.7 (2006)"
17,2,5,2005.5,2.334995,2.02499,1.9649999999999999,1.565,2.084995,10AM_noon,"Feb, 20.7 (2005), / 22.7 (2006)"
18,2,6,2005.5,2.5799950000000003,2.01999,1.9049999999999998,1.6349999999999998,1.8899949999999999,noon_2PM,"Feb, 20.7 (2005), / 22.7 (2006)"
19,2,7,2005.5,2.09,1.82,1.85,1.025,1.839995,2PM_4PM,"Feb, 20.7 (2005), / 22.7 (2006)"
20,2,8,2005.5,2.0949999999999998,1.85,1.86999,1.0150000000000001,1.7850000000000001,4PM_6PM,"Feb, 20.7 (2005), / 22.7 (2006)"
21,2,9,2005.5,1.9949949999999999,1.84,1.8250000000000002,0.915,1.8250000000000002,6PM_8PM,"Feb, 20.7 (2005), / 22.7 (2006)"
22,2,10,2005.5,1.99,1.835,1.71,0.98,1.665,8PM_10PM,"Feb, 20.7 (2005), / 22.7 (2006)"
23,2,11,2005.5,1.884995,1.835,1.7349999999999999,0.9,1.78,10PM_midnight,"Feb, 20.7 (2005), / 22.7 (2006)"
24,3,0,2005.0,1.855,1.91,1.999995,0.51,1.9049999999999998,midnight_2AM,"March, 23.8 (2005)"
25,3,1,2005.0,1.98,1.97,1.86999,0.46,1.94,2AM_4AM,"March, 23.8 (2005)"
26,3,2,2005.0,2.04999,1.9649999999999999,2.135,0.51,2.105,4AM_6AM,"March, 23.8 (2005)"
27,3,3,2005.0,2.37,2.21,2.32999,0.57,2.5899900000000002,6AM_8AM,"March, 23.8 (2005)"
28,3,4,2005.0,3.44,3.03999,3.23,0.51,3.59999,8AM_10AM,"March, 23.8 (2005)"
29,3,5,2005.0,3.18,2.78999,3.73,0.63,4.06,10AM_noon,"March, 23.8 (2005)"
30,3,6,2005.0,2.44,1.93,2.74,0.47,2.95,noon_2PM,"March, 23.8 (2005)"
31,3,7,2005.0,1.9449999999999998,1.9599950000000002,2.349995,0.46,2.254995,2PM_4PM,"March, 23.8 (2005)"
32,3,8,2005.0,1.69,1.9,2.02999,0.49,1.99,4PM_6PM,"March, 23.8 (2005)"
33,3,9,2005.0,1.63,1.82,1.9,0.5,1.9,6PM_8PM,"March, 23.8 (2005)"
34,3,10,2005.0,1.77,1.9,1.8250000000000002,0.46499999999999997,1.8450000000000002,8PM_10PM,"March, 23.8 (2005)"
