timebins_int,lane 1,lane 2,lane 3 ,lane 4,lane 5,timebins_str
0,2.01999,1.78,1.7650000000000001,0.76,1.74,midnight_2AM
1,2.12,1.89,1.76,0.74,1.82,2AM_4AM
2,2.34,1.96,1.84,0.78,1.8,4AM_6AM
3,2.43,1.98,1.84,0.82,1.815,6AM_8AM
4,2.55999,2.12,1.94,0.91,1.85,8AM_10AM
5,2.55999,2.15,1.97,1.18,1.81,10AM_noon
6,2.49999,1.9,1.86999,1.03,1.7499900000000002,noon_2PM
7,2.21,1.78,1.73,0.85,1.74,2PM_4PM
8,2.09,1.76,1.71,0.85,1.7,4PM_6PM
9,2.00999,1.74,1.73,0.81,1.77,6PM_8PM
10,2.00999,1.78,1.71,0.75,1.7499900000000002,8PM_10PM
11,2.00999,1.7499900000000002,1.73,0.78,1.7499900000000002,10PM_midnight
