,lane 1,lane 1,lane 1,lane 1,lane 1,lane 1,lane 1,lane 1,lane 2,lane 2,lane 2,lane 2,lane 2,lane 2,lane 2,lane 2,lane 3 ,lane 3 ,lane 3 ,lane 3 ,lane 3 ,lane 3 ,lane 3 ,lane 3 ,lane 4,lane 4,lane 4,lane 4,lane 4,lane 4,lane 4,lane 4,lane 5,lane 5,lane 5,lane 5,lane 5,lane 5,lane 5,lane 5
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-10-01,17.0,1.8499976470588235,0.1754981838057524,1.61,1.71,1.82,1.97,2.18,17.0,1.72,0.2402082429892863,1.32,1.61,1.74,1.83,2.14,17.0,1.859408823529412,0.32078638328103865,1.35,1.71,1.83,2.04999,2.5899900000000002,17.0,1.817644705882353,0.21261756959731856,1.49,1.65,1.82,1.95,2.16,17.0,1.8723511764705885,0.17257332205769643,1.55,1.7499900000000002,1.91,1.98,2.13
2004-10-02,16.0,1.932498125,0.17748249683536874,1.57,1.82,1.9449999999999998,2.0399925,2.24,16.0,1.8806225,0.1922653028673314,1.59,1.7249999999999999,1.884995,2.00249,2.23,16.0,1.8837475000000001,0.186470283655779,1.45,1.8025,1.894995,2.00249,2.16,16.0,1.8437475,0.17457985762013523,1.56,1.73,1.82,1.9549975000000002,2.18,16.0,1.873123125,0.11145711813480857,1.71,1.8225,1.869995,1.9375,2.12
2004-10-03,16.0,1.983121875,0.3656872126871771,1.3,1.6949999999999998,2.024995,2.2199975000000003,2.55999,16.0,1.6337481249999999,0.30375025105545184,1.18,1.4,1.545,1.86999,2.16,16.0,1.9099975,0.48159212343365143,0.89,1.7799999999999998,1.9849999999999999,2.1225,2.81999,16.0,1.8556225,0.3040383309496793,1.14,1.71,1.87499,1.9874975,2.39,16.0,1.751246875,0.33509808766426885,0.91,1.5924925,1.849995,1.9649975,2.13
2004-10-04,16.0,2.4412487499999997,0.9999520405224441,1.28,1.7925,2.225,2.5475000000000003,5.14,16.0,2.399371875,0.9499272073109516,1.4,1.81,1.989995,2.5499925,4.58999,16.0,2.07562375,0.7205646663173264,0.83,1.8024975,2.0949999999999998,2.1825,4.43,16.0,1.938748125,0.3537570282217019,1.1,1.6875,1.969995,2.1850000000000005,2.49999,16.0,2.0512475,0.4675729604600049,1.5,1.8449925,1.94,2.1275000000000004,3.38
2004-10-05,16.0,1.89999875,0.41472792689304155,0.95,1.6775,1.94,2.1999975,2.42,16.0,1.743123125,0.3275695079158773,0.78,1.6325,1.78,1.9924975,2.11,16.0,1.96812375,0.641229593576539,1.05,1.46,2.08,2.4450000000000003,2.98,16.0,1.842498125,0.3748672609732455,1.0,1.6275,1.844995,2.155,2.36,16.0,1.7412475,0.3148930294877929,0.77,1.6349974999999999,1.819995,1.9725000000000001,2.00999
2004-10-06,16.0,2.0793737500000002,0.6219474642966236,1.12,1.6325,1.969995,2.4924999999999997,3.14,16.0,1.79062375,0.5660203279727092,0.55,1.5375,1.759995,2.1050000000000004,3.12,16.0,2.0281225000000003,0.7170312592116654,1.08,1.48,1.889995,2.4124975,3.73,16.0,1.9306225000000001,0.5045029501268221,0.95,1.7525000000000002,1.9449999999999998,2.12,2.82999,16.0,1.70124875,0.5313611860229035,0.29,1.55,1.7,1.9249975,2.73
2004-10-07,16.0,2.010623125,0.5758529087503597,1.14,1.7274925,1.935,2.0724925,3.68,16.0,1.803124375,0.30810548113633096,1.2,1.57,1.815,2.02,2.24999,16.0,1.8281225,0.38721404935771636,1.03,1.7349999999999999,1.829995,2.0699925,2.4,16.0,1.8599987500000001,0.25192430082268763,1.31,1.68,1.85,2.0774925,2.25999,16.0,1.778121875,0.25930918004623366,1.32,1.645,1.779995,1.9524975,2.24999
2004-10-08,16.0,2.0343725,0.9351059654855521,0.89,1.4300000000000002,1.9799950000000002,2.2024974999999998,4.10999,16.0,1.894998125,0.7317011275215106,0.86,1.55,1.824995,2.12,4.18,16.0,1.92062375,0.6714091437752393,1.08,1.4175,1.9449999999999998,2.2350000000000003,3.80999,16.0,1.83375,0.5655896628003969,0.79,1.6025,1.86,1.9475,3.45,16.0,1.725623125,0.48225672884496906,0.98,1.415,1.6949999999999998,1.9699975,2.94
