,lane 1,lane 1,lane 1,lane 1,lane 1,lane 1,lane 1,lane 1,lane 2,lane 2,lane 2,lane 2,lane 2,lane 2,lane 2,lane 2,lane 3 ,lane 3 ,lane 3 ,lane 3 ,lane 3 ,lane 3 ,lane 3 ,lane 3 ,lane 4,lane 4,lane 4,lane 4,lane 4,lane 4,lane 4,lane 4,lane 5,lane 5,lane 5,lane 5,lane 5,lane 5,lane 5,lane 5
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,998.0,2.8316997094188374,1.320856905002694,0.0,1.98,2.7949900000000003,3.4,9.83,998.0,2.3161797494989975,2.199149874431361,0.01,0.9775,1.86,2.3575,9.999989999999999,998.0,2.898803877755511,1.525577773835985,0.56,1.86,2.41,3.4875000000000003,9.999989999999999,998.0,1.704286983967936,1.1064928156087608,0.0,0.98,1.64,2.02999,7.189989999999999,998.0,1.1900890180360721,1.119187750812142,0.02,0.28,1.04,1.8375000000000001,9.999989999999999
2,998.0,2.3732434068136268,1.4172389641931593,0.0,1.78,2.1,2.95,9.999989999999999,998.0,2.1843763527054105,1.1344560762907585,0.63,1.7225000000000001,1.9,2.15,9.999989999999999,998.0,2.1259198396793586,1.28810819552447,0.56,1.5425,1.86,2.2,9.999989999999999,998.0,1.1712415831663328,0.7814114915463303,0.06,0.52,1.0950000000000002,1.77,5.91,998.0,1.9842363026052103,1.5586952362064157,0.2,0.72,1.8,2.65,9.999989999999999
3,499.0,3.3616800400801607,2.890274744021285,0.17,1.64,1.95,4.054995,9.999989999999999,499.0,2.586449779559118,1.6981328861931964,0.08,1.72,1.97,2.385,8.569989999999999,499.0,3.072802364729459,2.3108816615103507,0.17,1.67,2.14,3.46,9.999989999999999,499.0,0.937955250501002,1.2107722459216115,0.04,0.385,0.5,0.63,6.02999,499.0,3.1721610621242484,2.2907465139443226,0.02,1.81,2.12,3.7949900000000003,9.999989999999999
4,499.0,9.999989999999999,0.0,9.999989999999999,9.999989999999999,9.999989999999999,9.999989999999999,9.999989999999999,499.0,1.8414813226452906,1.2215833002813845,0.02,1.02,1.4,2.215,8.16,499.0,4.510355290581162,3.08004815837462,0.97,2.435,2.97,5.970000000000001,9.999989999999999,499.0,2.6303786372745486,3.6291732435180903,0.21,0.55,0.64,1.975,9.999989999999999,499.0,5.942418697394789,3.7174067985746273,0.02,2.28499,6.559989999999999,9.999989999999999,9.999989999999999
5,499.0,1.4236057915831666,3.1483823318515145,0.01,0.01,0.06,0.485,9.999989999999999,499.0,2.1157891583166335,1.0950480699040088,0.07,1.57,1.89,2.385,8.13999,499.0,2.1358696593186375,2.4387886866760553,0.0,0.88,1.61,2.06999,9.999989999999999,499.0,1.908776052104208,2.4181971017795183,0.0,0.62,1.56,1.97,9.999989999999999,499.0,3.460096633266532,3.7187764408180572,0.02,0.175,1.68,6.414995,9.999989999999999
6,499.0,0.9219824048096193,1.118109809873058,0.01,0.04,0.24,2.334995,4.74,499.0,2.465127214428858,1.0256691401321059,0.0,1.76,2.24,3.1950000000000003,5.80999,499.0,1.5005399398797596,1.3556141226979117,0.11,0.38,0.88,2.25999,9.999989999999999,499.0,0.0004609218436873747,0.002098951725334565,0.0,0.0,0.0,0.0,0.01,499.0,1.253526012024048,0.8094070488933991,0.02,0.55,1.12,1.815,4.95999
7,499.0,2.5599899999999995,4.445348589434872e-16,2.55999,2.55999,2.55999,2.55999,2.55999,499.0,2.9998957114228455,0.8801967060560112,0.91,2.28499,3.27999,3.67,7.049989999999999,499.0,1.357173627254509,0.6348997998301518,0.38,0.86,1.26,1.74,5.85,499.0,0.003667334669338677,0.004823964931554115,0.0,0.0,0.0,0.01,0.01,499.0,0.32172344689378757,0.4532571054998333,0.02,0.07,0.13,0.29,2.49
8,499.0,2.477190621242485,0.5818480256161987,0.49,2.16,2.51999,2.80999,4.76999,499.0,1.7397582164328658,0.5261303842161247,0.34,1.495,1.76,1.975,5.52999,499.0,0.9385969138276553,0.790488666469394,0.0,0.59,0.86,1.11,8.569989999999999,499.0,0.0025651302605210423,0.0044623892934043405,0.0,0.0,0.0,0.01,0.02,499.0,1.7414611422845694,1.629208595219731,0.11,0.48,1.61999,2.03999,6.879989999999999
