,,lane 1,lane 1,lane 1,lane 1,lane 1,lane 1,lane 1,lane 1,lane 2,lane 2,lane 2,lane 2,lane 2,lane 2,lane 2,lane 2,lane 3 ,lane 3 ,lane 3 ,lane 3 ,lane 3 ,lane 3 ,lane 3 ,lane 3 ,lane 4,lane 4,lane 4,lane 4,lane 4,lane 4,lane 4,lane 4,lane 5,lane 5,lane 5,lane 5,lane 5,lane 5,lane 5,lane 5
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
month,timebins_int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,84.0,2.6290447619047614,1.1780254888834023,0.0,1.815,2.61,3.25999,6.12,84.0,2.174640714285714,2.1076998116160257,0.01,0.7799999999999999,1.86,2.1075,9.999989999999999,84.0,2.736424880952381,1.2059028480873932,1.05,1.96,2.339995,3.47,7.2099899999999995,84.0,1.5926179761904766,0.9062424745462764,0.41,0.945,1.6349999999999998,1.9725000000000001,5.68,84.0,1.080236904761905,0.9639620129907087,0.02,0.27,0.825,1.7449999999999999,4.12999
1,1,82.0,2.661582195121951,1.1840591093468353,0.0,1.8925,2.719995,3.2524925000000002,7.2099899999999995,82.0,2.101095487804878,2.0492734816015745,0.01,0.69,1.8050000000000002,2.06499,9.999989999999999,82.0,2.732435609756098,1.2147720019925272,1.18,1.9024999999999999,2.22,3.4524999999999997,8.17999,82.0,1.5186573170731705,0.8580756374874555,0.47,0.86,1.5350000000000001,1.935,5.2,82.0,1.1470725609756096,1.0993150722197025,0.02,0.23,0.735,1.83,4.45
1,2,84.0,2.914162619047619,1.268491599727251,0.0,2.05749,2.955,3.4849975,7.24,84.0,2.1064259523809525,2.032467115582237,0.01,0.57,1.8450000000000002,2.16,9.999989999999999,84.0,2.8911857142857142,1.2932178289424654,0.92,1.9375,2.56499,3.4474975000000003,7.56999,84.0,1.672141428571429,0.9840552744358027,0.34,0.9675,1.65,2.1125000000000003,5.74999,84.0,1.1303560714285716,0.9228443860440694,0.02,0.3275,0.9450000000000001,1.7325,4.12999
1,3,82.0,2.855361585365854,1.5422819015930276,0.0,1.9725000000000001,2.80499,3.42,9.169989999999999,82.0,2.586460487804878,2.532508448292199,0.01,1.13,1.96,2.3449975000000003,9.999989999999999,82.0,3.043410487804878,1.8006454886052186,0.74,1.8125,2.4299999999999997,3.52999,9.999989999999999,82.0,1.8345102439024388,1.322228329271588,0.12,1.0975000000000001,1.6949999999999998,2.0899975,7.089989999999999,82.0,1.2915842682926828,0.9671967524159837,0.02,0.43,1.2,1.9175,4.12
1,4,82.0,3.0040196341463417,1.5473622178527353,0.0,2.0925000000000002,2.78499,3.4949925000000004,9.83,82.0,2.533655487804878,2.5009133572792277,0.01,1.005,1.8899949999999999,2.415,9.999989999999999,82.0,3.0636543902439026,1.722245545823499,0.85,1.895,2.709995,3.54249,9.999989999999999,82.0,1.8579251219512196,1.291092139761407,0.16,1.045,1.68,2.12,7.189989999999999,82.0,1.4679253658536584,1.461360822195325,0.02,0.39,1.355,1.9725,9.17999
1,5,86.0,3.344181046511628,1.5125944996260203,0.0,2.50249,3.06499,4.0099925,9.38999,86.0,3.0298803488372092,2.702141418713269,0.01,0.6799999999999999,2.12,4.1874925,9.999989999999999,86.0,3.758599651162791,2.1326755616589983,1.09,2.03249,3.4050000000000002,4.70999,9.999989999999999,86.0,2.2583696511627904,1.4982153399408227,0.11,1.3725,1.93,2.665,7.129989999999999,86.0,1.5961605813953486,1.5516943470408344,0.02,0.445,1.17,2.3424975000000003,9.999989999999999
1,6,82.0,3.0415818292682935,1.6271306321624284,0.0,2.0925000000000002,2.80499,3.7175,9.74,82.0,2.900728048780488,2.520864799530549,0.01,1.2825,2.01999,3.6724975,9.999989999999999,82.0,3.3632892682926827,1.9638651000330578,1.16,1.9475,2.92,4.0724975,9.999989999999999,82.0,2.0389000000000004,1.4696599353944788,0.08,1.275,1.754995,2.375,6.03999,82.0,1.3974370731707317,1.179717056352123,0.02,0.325,1.4249999999999998,2.2175,5.12999
1,7,84.0,2.7491644047619044,1.3001864813026986,0.0,1.775,2.705,3.31499,7.16,84.0,2.1742829761904763,2.001714040564296,0.01,1.2575,1.739995,2.3374924999999998,9.999989999999999,84.0,2.814639166666667,1.481587774832471,0.94,1.805,2.2949900000000003,3.2874925,7.93,84.0,1.5888076190476188,1.036947302472554,0.0,0.9874999999999999,1.5350000000000001,1.8924925,6.85999,84.0,0.9892844047619048,0.8565685519424291,0.02,0.20500000000000002,0.725,1.7525,2.82999
1,8,82.0,2.753288536585366,1.1001195861854942,0.0,1.975,2.844995,3.3174900000000003,6.89999,82.0,1.9334126829268292,1.7335161577243745,0.01,0.57,1.7499900000000002,2.1675,9.999989999999999,82.0,2.691338780487805,1.2816280677657284,0.56,1.8424975000000001,2.309995,3.1675,7.839989999999999,82.0,1.5508529268292681,0.9364791597405491,0.47,0.9725,1.54,1.8375000000000001,6.14,82.0,0.9932919512195122,1.1065001579961606,0.02,0.1225,0.685,1.5950000000000002,7.509989999999999
1,9,82.0,2.6379235365853657,1.2028888254781394,0.0,1.9049999999999998,2.76499,3.28749,6.669989999999999,82.0,2.0725590243902436,1.7848476838423928,0.01,1.4525,1.835,2.23,9.999989999999999,82.0,2.475363048780488,1.0799505572492363,1.11,1.695,2.06999,3.18,7.7099899999999995,82.0,1.483169756097561,0.7536907765386585,0.35,0.94,1.5550000000000002,1.8874975,4.97,82.0,1.056097195121951,1.0154319228517275,0.02,0.2625,0.915,1.6375,5.85
1,10,84.0,2.657972738095238,1.0105549136487542,0.0,1.9974925000000001,2.7199999999999998,3.175,5.87999,84.0,2.1846402380952377,2.139788571162922,0.01,1.4,1.86,2.145,9.999989999999999,84.0,2.516187380952381,1.044392210251504,1.15,1.7774999999999999,2.17,3.0949925,8.45,84.0,1.4809508333333334,0.7917747128334105,0.47,0.905,1.605,1.8425000000000002,5.87999,84.0,1.124880238095238,1.0462871936115845,0.02,0.245,1.065,1.81,4.14
1,11,84.0,2.7190440476190476,1.0891521165623905,0.0,1.96,2.675,3.405,5.74999,84.0,1.98487869047619,1.8180856145949398,0.01,0.57,1.77,2.1574999999999998,9.999989999999999,84.0,2.6780913095238095,1.1735986300149481,1.25,1.92,2.185,3.31999,8.17999,84.0,1.562736428571429,0.8211337857178526,0.45,0.92,1.68,1.9924975,5.76999,84.0,1.0021416666666667,0.8837465367098116,0.02,0.2475,0.775,1.7125,3.93
2,0,86.0,2.0197644186046513,1.0296707893629424,0.0,1.7225000000000001,1.935,2.5799900000000004,4.39,86.0,1.9508119767441863,0.7438065221339403,1.05,1.6524999999999999,1.86,2.0274900000000002,7.77999,86.0,1.9245332558139536,0.6485820648904118,0.62,1.58,1.8549950000000002,2.15,3.98,86.0,1.0682546511627904,0.6723272279630397,0.15,0.54,0.845,1.8,2.51999,86.0,1.7036029069767442,1.0244557122501872,0.25,0.8125,1.75,2.36,4.22
