,lane 1,lane 1,lane 1,lane 1,lane 1,lane 1,lane 1,lane 1,lane 2,lane 2,lane 2,lane 2,lane 2,lane 2,lane 2,lane 2,lane 3 ,lane 3 ,lane 3 ,lane 3 ,lane 3 ,lane 3 ,lane 3 ,lane 3 ,lane 4,lane 4,lane 4,lane 4,lane 4,lane 4,lane 4,lane 4,lane 5,lane 5,lane 5,lane 5,lane 5,lane 5,lane 5,lane 5
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
timebins_int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,722.0,2.6587639335180056,2.450936436823654,0.0,1.61,2.01999,2.74,9.999989999999999,722.0,1.8681008310249305,1.1275992700556785,0.0,1.46,1.78,2.00999,9.999989999999999,722.0,1.8750121329639888,1.5248195491819443,0.01,1.02,1.7650000000000001,2.17,9.999989999999999,722.0,1.1601376177285316,1.5077312996780006,0.0,0.22,0.76,1.77,9.999989999999999,722.0,2.0602471052631577,2.2354664749869007,0.02,0.37249999999999994,1.74,2.4974925,9.999989999999999
1,697.0,2.7002834002869442,2.403541172495331,0.0,1.74,2.12,2.80999,9.999989999999999,697.0,1.9978171018651365,1.0820387716796591,0.01,1.61999,1.89,2.13,9.999989999999999,697.0,1.9438431276901003,1.5770194142808298,0.01,1.08,1.76,2.21,9.999989999999999,697.0,1.1510609182209468,1.5310157896411378,0.0,0.2,0.74,1.71,9.999989999999999,697.0,2.1158227833572454,2.223705235819792,0.02,0.37,1.82,2.57999,9.999989999999999
2,707.0,2.8876196181046674,2.4314716562847574,0.0,1.82,2.34,3.1149950000000004,9.999989999999999,707.0,2.211949504950495,1.2618496605153373,0.01,1.71,1.96,2.365,9.999989999999999,707.0,2.0804503960396037,1.6638562774998815,0.01,1.17,1.84,2.28999,9.999989999999999,707.0,1.2263355445544555,1.6056664222546038,0.0,0.255,0.78,1.8,9.999989999999999,707.0,2.149403635077794,2.193057499214216,0.02,0.44,1.8,2.615,9.999989999999999
3,706.0,2.963919589235127,2.486741821622864,0.0,1.82,2.43,3.1875,9.999989999999999,706.0,2.3678300991501415,1.4386607807410339,0.01,1.74,1.98,2.46,9.999989999999999,706.0,2.196810807365439,1.7956771678788686,0.0,1.2225000000000001,1.84,2.36,9.999989999999999,706.0,1.2110754107648727,1.5660008113512618,0.0,0.2025,0.82,1.81,9.999989999999999,706.0,2.118453852691218,2.0025460747915056,0.02,0.56,1.815,2.76749,9.999989999999999
4,697.0,3.119378952654232,2.535995839107622,0.0,1.86999,2.55999,3.52999,9.999989999999999,697.0,2.6498102152080345,1.6347368882630007,0.0,1.79,2.12,3.1099900000000003,9.999989999999999,697.0,2.4704563845050216,1.9801499309174755,0.0,1.38,1.94,2.92,9.999989999999999,697.0,1.3853644763271162,1.7435168633001852,0.0,0.2,0.91,1.91,9.999989999999999,697.0,2.3682038880918217,2.3638347295986755,0.02,0.56,1.85,3.04999,9.999989999999999
5,715.0,3.172386783216782,2.5136512421265325,0.0,1.89,2.55999,3.53999,9.999989999999999,715.0,2.7605700559440556,1.8147985710834245,0.0,1.7499900000000002,2.15,3.27499,9.999989999999999,715.0,2.6014515384615384,2.1230614194307944,0.0,1.36,1.97,3.12,9.999989999999999,715.0,1.489607006993007,1.77196920289217,0.0,0.2,1.18,1.9449999999999998,9.999989999999999,715.0,2.5026126153846153,2.5500921607452014,0.02,0.545,1.81,3.135,9.999989999999999
6,713.0,3.0242736605890603,2.5442008620045944,0.0,1.68,2.49999,3.36999,9.999989999999999,713.0,2.4247096213183728,1.6103205049032303,0.01,1.61999,1.9,2.82999,9.999989999999999,713.0,2.4051168443197755,1.929584821728556,0.0,1.3,1.86999,2.84999,9.999989999999999,713.0,1.3632245301542776,1.6102745627966624,0.0,0.21,1.03,1.85,9.999989999999999,713.0,2.451876704067321,2.5476460991781256,0.02,0.48,1.7499900000000002,3.15,9.999989999999999
7,705.0,2.7924789929078013,2.445769452530593,0.0,1.6,2.21,3.12,9.999989999999999,705.0,2.037671815602837,1.2870975745760898,0.01,1.46,1.78,2.14,9.999989999999999,705.0,2.04353,1.589573778671342,0.0,1.16,1.73,2.43,9.999989999999999,705.0,1.1635168794326243,1.4415403753525247,0.0,0.19,0.85,1.73,9.999989999999999,705.0,2.4155436312056735,2.63984071926776,0.02,0.4,1.74,2.96,9.999989999999999
8,697.0,2.705276327116212,2.429772797784899,0.0,1.56,2.09,2.99,9.999989999999999,697.0,1.9611889526542325,1.340591223539857,0.01,1.44,1.76,2.03999,9.999989999999999,697.0,1.9463826398852224,1.6297380803610562,0.0,1.04,1.71,2.17,9.999989999999999,697.0,1.2249201865136299,1.58759061559928,0.0,0.33,0.85,1.7,9.999989999999999,697.0,2.297386370157819,2.6045397815192888,0.02,0.4,1.7,2.62,9.999989999999999
9,711.0,2.668449634317862,2.468303794288845,0.0,1.51,2.00999,2.88,9.999989999999999,711.0,1.8765663994374122,1.211118241746196,0.01,1.33,1.74,2.00999,9.999989999999999,711.0,1.8584652601969056,1.5371605836296627,0.0,1.0,1.73,2.11,9.999989999999999,711.0,1.136848776371308,1.4597334997104614,0.0,0.28,0.81,1.69,9.999989999999999,711.0,2.3078177215189872,2.5605863433912086,0.02,0.415,1.77,2.725,9.999989999999999
10,707.0,2.645102814710042,2.4143499468371377,0.0,1.5550000000000002,2.00999,2.8549949999999997,9.999989999999999,707.0,1.8971835643564354,1.1887575380345732,0.01,1.39,1.78,2.05999,9.999989999999999,707.0,1.8588808486562942,1.577982502988575,0.0,0.965,1.71,2.1,9.999989999999999,707.0,1.1535493493635078,1.4931823458622726,0.0,0.265,0.75,1.71,9.999989999999999,707.0,2.262373903818953,2.50674641162655,0.02,0.39,1.7499900000000002,2.67,9.999989999999999
11,707.0,2.658200014144272,2.398164314313057,0.0,1.614995,2.00999,2.78499,9.999989999999999,707.0,1.8728411315417257,1.1339779742210816,0.01,1.435,1.7499900000000002,2.01999,9.999989999999999,707.0,1.8824452192362093,1.58331549283303,0.0,1.005,1.73,2.11,9.999989999999999,707.0,1.187311640735502,1.5423811991031526,0.0,0.275,0.78,1.76,9.999989999999999,707.0,2.174863380480905,2.4290729671570417,0.02,0.39,1.7499900000000002,2.455,9.999989999999999
